,count,mean,std,min,25%,50%,75%,max,asimetria,curtosis,faltantes_n,faltantes_pct
frec_manejado_pequenos_problemas_irritantes,561.0,2.839572192513369,0.7878105933152008,0.0,2.0,3.0,3.0,4.0,-0.4999627636529808,0.6032297310909418,47,7.730263157894737
frec_afrontado_cambios_importantes,561.0,2.768270944741533,0.857607992800323,0.0,2.0,3.0,3.0,4.0,-0.5247316159802059,0.24205788052236965,47,7.730263157894737
frec_seguro_capacidad_manejar_problemas_personales,561.0,2.803921568627451,0.8848238046448041,0.0,2.0,3.0,3.0,4.0,-0.38253647522575845,-0.25386291173732944,47,7.730263157894737
frec_cosas_van_bien,561.0,2.6506238859180034,0.9019050092917695,0.0,2.0,3.0,3.0,4.0,-0.2506996444300372,-0.29209967658348335,47,7.730263157894737
frec_no_afrontar_todas_cosas,561.0,2.0463458110516934,1.0680380953216575,0.0,1.0,2.0,3.0,4.0,0.06638138898205508,-0.5867150106229992,47,7.730263157894737
frec_controlar_dificultades,561.0,2.828877005347594,0.7832763065134177,0.0,2.0,3.0,3.0,4.0,-0.47290064429911727,0.4764507869653234,47,7.730263157894737
frec_todo_bajo_control,561.0,2.242424242424242,0.9552769821125768,0.0,2.0,2.0,3.0,4.0,-0.15552137278782474,-0.30418289703157786,47,7.730263157894737
frec_enfadado_cosas_fuera_control,561.0,1.914438502673797,1.0805860249753556,0.0,1.0,2.0,3.0,4.0,0.23889090832955173,-0.5818889037216022,47,7.730263157894737
frec_pensado_cosas_por_hacer,558.0,3.0663082437275984,0.9592660597544928,0.0,3.0,3.0,4.0,4.0,-0.953490238559091,0.4587129934418295,50,8.223684210526317
frec_controlar_forma_pasar_tiempo,561.0,2.335115864527629,1.009772090152743,0.0,2.0,2.0,3.0,4.0,-0.15519771034072896,-0.6173879340978798,47,7.730263157894737
frec_dificultades_acumuladas,561.0,1.4723707664884136,1.1830814388106008,0.0,1.0,1.0,2.0,4.0,0.5206668049030114,-0.5924970317165235,47,7.730263157894737
score_estres,562.0,24.1423487544484,8.85741802163931,0.0,18.0,24.0,31.0,50.0,0.07796343582522702,-0.30396321471672705,46,7.565789473684211
fallos_memoria_problemas,491.0,0.9185336048879837,0.9738848611863717,0.0,0.0,1.0,2.0,4.0,0.8293705822530923,-0.05282320734404067,117,19.24342105263158
olvido_puesto_cosas,491.0,1.5661914460285133,1.0715226415885408,0.0,1.0,2.0,2.0,4.0,0.21197333411513172,-0.750455832627221,117,19.24342105263158
olvido_lugares,491.0,0.6313645621181263,0.9370785972561059,0.0,0.0,0.0,1.0,4.0,1.3632861076151617,0.8620294312014529,117,19.24342105263158
dificultad_seguir_tele,491.0,0.43380855397148677,0.7753850630020418,0.0,0.0,0.0,1.0,4.0,1.9231773816022975,3.415870610888308,117,19.24342105263158
sigo_antiguas_rutinas,491.0,0.5193482688391039,0.8287760725680265,0.0,0.0,0.0,1.0,4.0,1.6984609880854158,2.448328316098806,117,19.24342105263158
comprobar_hecho,491.0,1.3319755600814664,1.0831623992158057,0.0,0.0,1.0,2.0,4.0,0.5200102201348518,-0.4689631702807091,117,19.24342105263158
olvido_cuando_cosas,489.0,1.165644171779141,1.0318521685382005,0.0,0.0,1.0,2.0,4.0,0.5179982412047637,-0.6471527236675039,119,19.572368421052634
olvido_llevar_objetos,491.0,1.0855397148676171,1.061772999275711,0.0,0.0,1.0,2.0,4.0,0.7942150009060077,-0.14942225385195762,117,19.24342105263158
olvido_dijeron,491.0,1.0081466395112015,1.0101196266213337,0.0,0.0,1.0,2.0,4.0,0.699407000152653,-0.3824937225840572,117,19.24342105263158
leo_leido_antes,491.0,0.725050916496945,0.9123661475515945,0.0,0.0,0.0,1.0,4.0,1.2186165609446902,0.9467498718061784,117,19.24342105263158
divago_conver,491.0,0.8126272912423625,1.0007769540837241,0.0,0.0,0.0,1.0,4.0,1.0203491051194202,0.06692417517531801,117,19.24342105263158
no_reconozco_amigos,491.0,0.1364562118126273,0.49457760540946366,0.0,0.0,0.0,0.0,4.0,4.449498590122803,22.120669609067377,117,19.24342105263158
dificultad_aprender_habilidades,491.0,0.7046843177189409,0.8854599013371601,0.0,0.0,0.0,1.0,4.0,1.1984075920361215,0.9938320257515612,117,19.24342105263158
palabra_punta_lengua,491.0,1.464358452138493,1.0710725817289306,0.0,1.0,1.0,2.0,4.0,0.39316598398982616,-0.6700044207952245,117,19.24342105263158
olvido_cosas_planeado,490.0,1.0142857142857142,1.012094550090607,0.0,0.0,1.0,2.0,4.0,0.7913253676554417,-0.15846263253559068,118,19.407894736842106
olvido_detalles_ayer,491.0,0.6741344195519349,0.896548378025083,0.0,0.0,0.0,1.0,4.0,1.1317977956019387,0.32093735610156626,117,19.24342105263158
olvido_tema_conversacion,490.0,0.7081632653061225,0.8713426009900781,0.0,0.0,0.0,1.0,4.0,1.1801685787989278,0.9592764526060429,118,19.407894736842106
pierdo_hilo_leo,490.0,0.8122448979591836,1.0159530472906064,0.0,0.0,0.0,1.0,4.0,1.1583217946419004,0.5626808069243903,118,19.407894736842106
olvido_recados,491.0,0.6680244399185336,0.8534300345612799,0.0,0.0,0.0,1.0,4.0,1.1881063458514307,0.7655011390514908,117,19.24342105263158
olvido_detalles_mi,491.0,0.20162932790224034,0.5624993361223806,0.0,0.0,0.0,0.0,3.0,3.260579702701828,11.178752645312748,117,19.24342105263158
confundo_detalles_otras_personas,490.0,0.7693877551020408,0.8918407887553655,0.0,0.0,1.0,1.0,4.0,0.9902611345053107,0.29670820106558704,118,19.407894736842106
olvido_anecdotas,491.0,1.1323828920570265,1.0285665793698127,0.0,0.0,1.0,2.0,4.0,0.5121742931667106,-0.7068887212402406,117,19.24342105263158
olvido_detalles_habituales,491.0,0.49490835030549896,0.7729314340789052,0.0,0.0,0.0,1.0,4.0,1.5746872322005276,2.0224760902717955,117,19.24342105263158
olvido_famosos,490.0,0.31020408163265306,0.653524313086489,0.0,0.0,0.0,0.0,4.0,2.361614593243098,5.794995499863624,118,19.407894736842106
olvido_donde_guardo,491.0,1.164969450101833,1.0725113334083183,0.0,0.0,1.0,2.0,4.0,0.7139774218846829,-0.21269065539042842,117,19.24342105263158
direccion_erronea,489.0,0.47648261758691207,0.8223062706002819,0.0,0.0,0.0,1.0,4.0,1.829567275267449,2.9522835928939695,119,19.572368421052634
hago_dos_veces,491.0,0.34623217922606925,0.6838375053606627,0.0,0.0,0.0,0.0,3.0,2.0865086224050797,3.908164596353923,117,19.24342105263158
repito_hablando,491.0,0.6211812627291242,0.8870263494551839,0.0,0.0,0.0,1.0,4.0,1.364806613096126,1.1139112504943798,117,19.24342105263158
olvido_usar_objeto,490.0,0.32653061224489793,0.6327062368015341,0.0,0.0,0.0,0.0,3.0,2.0363231524316783,3.868687368278638,118,19.407894736842106
olvido_nombre_personas,491.0,0.5967413441955194,0.9391211546785218,0.0,0.0,0.0,1.0,4.0,1.5215736389648187,1.4473926457631396,117,19.24342105263158
score_memoria,491.0,22.80651731160896,17.08577515186261,0.0,10.0,19.0,32.0,93.0,1.1134946996551405,1.2779839818400713,117,19.24342105263158
